Ortholog group	Number of genomes	Example accession	Description	Red_Sea_only
pelag13348	1	HIMB4_00596	hypothetical protein	
pelag13349	1	HIMB4_00597	hypothetical protein	
pelag13350	1	HIMB4_00598	DNA polymerase I, thermostable	
pelag13351	1	HIMB4_00599	hypothetical protein	
pelag13352	1	HIMB4_00600	hypothetical protein	
pelag13353	1	HIMB4_00601	hypothetical protein	
pelag13354	1	HIMB4_00602	hypothetical protein	
pelag13355	1	HIMB4_00603	hypothetical protein	
pelag13356	1	HIMB4_00604	hypothetical protein	
pelag13357	1	HIMB4_00605	hypothetical protein	
pelag13358	1	HIMB4_00607	hypothetical protein	
pelag13359	1	HIMB4_00608	tRNA (mo5U34)-methyltransferase	
pelag13360	1	HIMB4_00609	hypothetical protein	
pelag13361	1	HIMB4_00610	hypothetical protein	
pelag13362	1	HIMB4_00881	Putative methylthioribose-1-phosphate isomerase	
pelag13363	1	HIMB4_00888	Chromosome partition protein Smc	
pelag13364	1	HIMB4_00904	4-hydroxy-2-oxo-heptane-1,7-dioate aldolase	
pelag13365	1	HIMB4_00905	5-keto-4-deoxy-D-glucarate aldolase	
pelag13366	1	HIMB4_00931	4-hydroxy-tetrahydrodipicolinate synthase	
pelag13367	1	HIMB4_00932	Gamma-glutamylputrescine oxidoreductase	
pelag13368	1	HIMB4_00985	hypothetical protein	
pelag13369	1	HIMB4_01231	Shikimate dehydrogenase (NADP(+))	
pelag13370	1	HIMB4_01318	hypothetical protein	
pelag13371	1	HIMB4_01319	hypothetical protein	
pelag13372	1	HIMB4_01488	Ubiquinol-cytochrome c reductase iron-sulfur subunit	
pelag13373	1	HIMB5_00105	3-deoxy-D-manno-octulosonic acid transferase	
pelag13374	1	HIMB5_00183	hypothetical protein	
pelag13375	1	HIMB5_00203	hypothetical protein	
pelag13376	1	HIMB5_00346	Sulfoxide reductase heme-binding subunit YedZ	
pelag13377	1	HIMB5_00363	3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase	
pelag13378	1	HIMB5_00368	hypothetical protein	
pelag13379	1	HIMB5_00409	hypothetical protein	
pelag13380	1	HIMB5_00490	hypothetical protein	
pelag13381	1	HIMB5_00507	hypothetical protein	
pelag13382	1	HIMB5_00508	hypothetical protein	
pelag13383	1	HIMB5_00656	Thymidylate kinase	
pelag13384	1	HIMB5_00831	hypothetical protein	
pelag13385	1	HIMB5_00871	hypothetical protein	
pelag13386	1	HIMB5_00979	hypothetical protein	
pelag13387	1	HIMB5_01019	Inorganic pyrophosphatase	
pelag13388	1	HIMB5_01057	hypothetical protein	
pelag13389	1	HIMB5_01105	hypothetical protein	
pelag13390	1	HIMB5_01110	hypothetical protein	
pelag13391	1	HIMB5_01117	hypothetical protein	
pelag13392	1	HIMB5_01124	hypothetical protein	
pelag13393	1	HIMB5_01134	Methionyl-tRNA formyltransferase	
pelag13394	1	HIMB5_01188	hypothetical protein	
pelag13395	1	HIMB5_01190	hypothetical protein	
pelag13396	1	HIMB5_01191	DNA-directed RNA polymerase subunit alpha	
pelag13397	1	HIMB5_01200	hypothetical protein	
pelag13398	1	HIMB5_01205	hypothetical protein	
pelag13399	1	HIMB5_01209	hypothetical protein	
pelag13400	1	HIMB5_01210	hypothetical protein	
pelag13401	1	HIMB5_01211	hypothetical protein	
pelag13402	1	HIMB5_01213	hypothetical protein	
pelag13403	1	HIMB5_01214	hypothetical protein	
pelag13404	1	HIMB5_01215	hypothetical protein	
pelag13405	1	HIMB5_01217	hypothetical protein	
pelag13406	1	HIMB5_01218	hypothetical protein	
pelag13407	1	HIMB5_01219	hypothetical protein	
pelag13408	1	HIMB5_01220	hypothetical protein	
pelag13409	1	HIMB5_01264	hypothetical protein	
pelag13410	1	HIMB5_01266	hypothetical protein	
pelag13411	1	HIMB5_01269	putative S-adenosylmethionine-dependent methyltransferase/MSMEI_2290	
pelag13412	1	HIMB5_01304	hypothetical protein	
pelag13413	1	HIMB5_01326	hypothetical protein	
pelag13414	1	HIMB5_01420	GDP-6-deoxy-D-mannose reductase	
pelag13415	1	HTCC1002_00002	hypothetical protein	
pelag13416	1	HTCC1002_00868	hypothetical protein	
pelag13417	1	HTCC1002_00924	hypothetical protein	
pelag13418	1	HTCC1002_00925	hypothetical protein	
pelag13419	1	HTCC1002_01131	hypothetical protein	
pelag13420	1	HTCC1002_01135	hypothetical protein	
pelag13421	1	HTCC1002_01136	hypothetical protein	
pelag13422	1	HTCC1002_01138	hypothetical protein	
pelag13423	1	HTCC1002_01140	hypothetical protein	
pelag13424	1	HTCC1002_01141	hypothetical protein	
pelag13425	1	HTCC1002_01143	Bifunctional (p)ppGpp synthase/hydrolase RelA	
pelag13426	1	HTCC1002_01144	hypothetical protein	
pelag13427	1	HTCC1002_01149	hypothetical protein	
pelag13428	1	HTCC1002_01150	hypothetical protein	
pelag13429	1	HTCC1002_01157	hypothetical protein	
pelag13430	1	HTCC1002_01160	hypothetical protein	
pelag13431	1	HTCC1002_01167	hypothetical protein	
pelag13432	1	HTCC1002_01168	hypothetical protein	
pelag13433	1	HTCC1002_01319	hypothetical protein	
pelag13434	1	HTCC1002_01321	hypothetical protein	
pelag13435	1	HTCC1002_01408	hypothetical protein	
pelag13436	1	HTCC1002_01409	Mobilization protein MbeC	
pelag13437	1	HTCC1013_00001	hypothetical protein	
pelag13438	1	HTCC1013_00004	hypothetical protein	
pelag13439	1	HTCC1013_00347	hypothetical protein	
pelag13440	1	HTCC1013_00360	hypothetical protein	
pelag13441	1	HTCC1013_00362	hypothetical protein	
pelag13442	1	HTCC1013_00364	hypothetical protein	
pelag13443	1	HTCC1013_00365	hypothetical protein	
pelag13444	1	HTCC1013_00369	hypothetical protein	
pelag13445	1	HTCC1013_00372	hypothetical protein	
pelag13446	1	HTCC1013_00373	hypothetical protein	
pelag13447	1	HTCC1013_00374	hypothetical protein	
pelag13448	1	HTCC1013_00378	hypothetical protein	
pelag13449	1	HTCC1013_00380	hypothetical protein	
pelag13450	1	HTCC1013_00384	hypothetical protein	
pelag13451	1	HTCC1013_00436	hypothetical protein	
pelag13452	1	HTCC1013_00437	hypothetical protein	
pelag13453	1	HTCC1013_00438	hypothetical protein	
pelag13454	1	HTCC1013_00439	hypothetical protein	
pelag13455	1	HTCC1013_00441	hypothetical protein	
pelag13456	1	HTCC1013_00442	DNA-directed RNA polymerase subunit alpha	
pelag13457	1	HTCC1013_00482	hypothetical protein	
pelag13458	1	HTCC1013_00776	hypothetical protein	
pelag13459	1	HTCC1013_00780	hypothetical protein	
pelag13460	1	HTCC1013_00863	hypothetical protein	
pelag13461	1	HTCC1016_00473	3-oxoacyl-[acyl-carrier-protein] reductase FabG	
pelag13462	1	HTCC1016_00475	hypothetical protein	
pelag13463	1	HTCC1016_00485	hypothetical protein	
pelag13464	1	HTCC1016_00486	hypothetical protein	
pelag13465	1	HTCC1016_00488	hypothetical protein	
pelag13466	1	HTCC1016_00491	hypothetical protein	
pelag13467	1	HTCC1016_00502	hypothetical protein	
pelag13468	1	HTCC1016_00507	hypothetical protein	
pelag13469	1	HTCC1016_00845	hypothetical protein	
pelag13470	1	HTCC1016_00927	hypothetical protein	
pelag13471	1	HTCC1016_01083	hypothetical protein	
pelag13472	1	HTCC1016_01085	hypothetical protein	
pelag13473	1	HTCC1016_01086	hypothetical protein	
pelag13474	1	HTCC1016_01090	hypothetical protein	
pelag13475	1	HTCC1016_01092	hypothetical protein	
pelag13476	1	HTCC1016_01094	hypothetical protein	
pelag13477	1	HTCC1016_01100	hypothetical protein	
pelag13478	1	HTCC1016_01107	hypothetical protein	
pelag13479	1	HTCC1016_01108	hypothetical protein	
pelag13480	1	HTCC1016_01109	hypothetical protein	
pelag13481	1	HTCC1016_01110	hypothetical protein	
pelag13482	1	HTCC1016_01111	hypothetical protein	
pelag13483	1	HTCC1016_01382	hypothetical protein	
pelag13484	1	HTCC1040_00377	Pseudaminic acid synthase	
pelag13485	1	HTCC1040_00378	putative 2,4-dienoyl-CoA reductase	
pelag13486	1	HTCC1040_00386	hypothetical protein	
pelag13487	1	HTCC1040_00389	hypothetical protein	
pelag13488	1	HTCC1040_00390	hypothetical protein	
pelag13489	1	HTCC1040_00391	hypothetical protein	
pelag13490	1	HTCC1040_00398	hypothetical protein	
pelag13491	1	HTCC1040_00401	hypothetical protein	
pelag13492	1	HTCC1040_00402	Methionyl-tRNA formyltransferase	
pelag13493	1	HTCC1040_00408	hypothetical protein	
pelag13494	1	HTCC1040_00410	hypothetical protein	
pelag13495	1	HTCC1040_00411	hypothetical protein	
pelag13496	1	HTCC1040_00412	hypothetical protein	
pelag13497	1	HTCC1040_00416	Asparagine synthetase [glutamine-hydrolyzing] 1	
pelag13498	1	HTCC1040_00418	Glycosyltransferase Gtf1	
pelag13499	1	HTCC1040_00421	hypothetical protein	
pelag13500	1	HTCC1040_00422	hypothetical protein	
pelag13501	1	HTCC1040_00424	hypothetical protein	
pelag13502	1	HTCC1040_00425	Chitooligosaccharide deacetylase ChbG	
pelag13503	1	HTCC1040_00432	hypothetical protein	
pelag13504	1	HTCC1040_00551	hypothetical protein	
pelag13505	1	HTCC1040_00834	hypothetical protein	
pelag13506	1	HTCC1040_00981	hypothetical protein	
pelag13507	1	HTCC1040_01065	hypothetical protein	
pelag13508	1	HTCC1040_01066	hypothetical protein	
pelag13509	1	HTCC1040_01067	hypothetical protein	
pelag13510	1	HTCC1040_01068	hypothetical protein	
pelag13511	1	HTCC1040_01219	hypothetical protein	
pelag13512	1	HTCC1040_01221	hypothetical protein	
pelag13513	1	HTCC1040_01281	putative HTH-type transcriptional regulator YybR	
pelag13514	1	HTCC1040_01370	hypothetical protein	
pelag13515	1	HTCC1040_01371	hypothetical protein	
pelag13516	1	HTCC7211_00002	hypothetical protein	
pelag13517	1	HTCC7211_00004	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE	
pelag13518	1	HTCC7211_00005	hypothetical protein	
pelag13519	1	HTCC7211_00014	hypothetical protein	
pelag13520	1	HTCC7211_00016	hypothetical protein	
pelag13521	1	HTCC7211_00017	hypothetical protein	
pelag13522	1	HTCC7211_00019	D-glycero-alpha-D-manno-heptose 1-phosphate guanylyltransferase	
pelag13523	1	HTCC7211_00036	hypothetical protein	
pelag13524	1	HTCC7211_00038	hypothetical protein	
pelag13525	1	HTCC7211_00040	hypothetical protein	
pelag13526	1	HTCC7211_00041	hypothetical protein	
pelag13527	1	HTCC7211_00165	hypothetical protein	
pelag13528	1	HTCC7211_00519	Modification methylase AplI	
pelag13529	1	HTCC7211_00520	hypothetical protein	
pelag13530	1	HTCC7211_00555	hypothetical protein	
pelag13531	1	HTCC7211_00630	hypothetical protein	
pelag13532	1	HTCC7211_00634	hypothetical protein	
pelag13533	1	HTCC7211_00857	hypothetical protein	
pelag13534	1	HTCC7211_00858	hypothetical protein	
pelag13535	1	HTCC7211_00859	hypothetical protein	
pelag13536	1	HTCC7211_00862	hypothetical protein	
pelag13537	1	HTCC7211_00863	hypothetical protein	
pelag13538	1	HTCC7211_00864	hypothetical protein	
pelag13539	1	HTCC7211_00865	hypothetical protein	
pelag13540	1	HTCC7211_00866	hypothetical protein	
pelag13541	1	HTCC7211_00867	hypothetical protein	
pelag13542	1	HTCC7211_00868	hypothetical protein	
pelag13543	1	HTCC7211_00869	hypothetical protein	
pelag13544	1	HTCC7211_00870	hypothetical protein	
pelag13545	1	HTCC7211_00872	hypothetical protein	
pelag13546	1	HTCC7211_00873	hypothetical protein	
pelag13547	1	HTCC7211_00874	hypothetical protein	
pelag13548	1	HTCC7211_00875	hypothetical protein	
pelag13549	1	HTCC7211_00876	hypothetical protein	
pelag13550	1	HTCC7211_00877	hypothetical protein	
pelag13551	1	HTCC7211_00878	hypothetical protein	
pelag13552	1	HTCC7211_00879	hypothetical protein	
pelag13553	1	HTCC7211_00880	hypothetical protein	
pelag13554	1	HTCC7211_00881	hypothetical protein	
pelag13555	1	HTCC7211_00882	hypothetical protein	
pelag13556	1	HTCC7211_00884	hypothetical protein	
pelag13557	1	HTCC7211_00887	hypothetical protein	
pelag13558	1	HTCC7211_00891	hypothetical protein	
pelag13559	1	HTCC7211_00892	hypothetical protein	
pelag13560	1	HTCC7211_01065	hypothetical protein	
pelag13561	1	HTCC7211_01105	hypothetical protein	
pelag13562	1	HTCC7211_01417	hypothetical protein	
pelag13563	1	HTCC7211_01550	hypothetical protein	
pelag13564	1	HTCC7211_01552	N,N'-diacetylbacillosaminyl-diphospho-undecaprenol alpha-1,3-N-acetylgalactosaminyltransferase	
pelag13565	1	HTCC7211_01553	hypothetical protein	
pelag13566	1	HTCC7211_01555	hypothetical protein	
pelag13567	1	HTCC7211_01561	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE	
pelag13568	1	HTCC7211_01568	Imidazole glycerol phosphate synthase subunit HisF	
pelag13569	1	HTCC7211_01577	hypothetical protein	
pelag13570	1	HTCC7214_00001	hypothetical protein	
pelag13571	1	HTCC7214_00044	putative oxidoreductase CzcO	
pelag13572	1	HTCC7214_00045	2-iminobutanoate/2-iminopropanoate deaminase	
pelag13573	1	HTCC7214_00047	Acetylornithine deacetylase	
pelag13574	1	HTCC7214_00048	hypothetical protein	
pelag13575	1	HTCC7214_00049	hypothetical protein	
pelag13576	1	HTCC7214_00051	hypothetical protein	
pelag13577	1	HTCC7214_00504	hypothetical protein	
pelag13578	1	HTCC7214_00619	hypothetical protein	
pelag13579	1	HTCC7214_00620	hypothetical protein	
pelag13580	1	HTCC7214_00626	GalNAc(5)-diNAcBac-PP-undecaprenol beta-1,3-glucosyltransferase	
pelag13581	1	HTCC7214_00632	hypothetical protein	
pelag13582	1	HTCC7214_00637	hypothetical protein	
pelag13583	1	HTCC7214_00639	Benzil reductase ((S)-benzoin forming)	
pelag13584	1	HTCC7214_00652	hypothetical protein	
pelag13585	1	HTCC7214_00653	hypothetical protein	
pelag13586	1	HTCC7214_00740	hypothetical protein	
pelag13587	1	HTCC7214_00771	hypothetical protein	
pelag13588	1	HTCC7214_01282	hypothetical protein	
pelag13589	1	HTCC7214_01285	hypothetical protein	
pelag13590	1	HTCC7214_01286	Fimbrial protein	
pelag13591	1	HTCC7214_01287	hypothetical protein	
pelag13592	1	HTCC7217_00050	hypothetical protein	
pelag13593	1	HTCC7217_00051	hypothetical protein	
pelag13594	1	HTCC7217_00057	hypothetical protein	
pelag13595	1	HTCC7217_00200	hypothetical protein	
pelag13596	1	HTCC7217_00203	hypothetical protein	
pelag13597	1	HTCC7217_00204	hypothetical protein	
pelag13598	1	HTCC7217_00417	hypothetical protein	
pelag13599	1	HTCC7217_00418	Phosphonoacetaldehyde reductase	
pelag13600	1	HTCC7217_00419	hypothetical protein	
pelag13601	1	HTCC7217_00421	(S)-2-hydroxypropylphosphonic acid epoxidase	
pelag13602	1	HTCC7217_00852	hypothetical protein	
pelag13603	1	HTCC7217_00857	hypothetical protein	
pelag13604	1	HTCC7217_00858	hypothetical protein	
pelag13605	1	HTCC7217_00859	hypothetical protein	
pelag13606	1	HTCC7217_00860	hypothetical protein	
pelag13607	1	HTCC7217_00867	hypothetical protein	
pelag13608	1	HTCC7217_00868	hypothetical protein	
pelag13609	1	HTCC7217_00874	hypothetical protein	
pelag13610	1	HTCC7217_00878	hypothetical protein	
pelag13611	1	HTCC7217_00882	Methane monooxygenase component C	
pelag13612	1	HTCC7217_00887	hypothetical protein	
pelag13613	1	HTCC7217_00889	hypothetical protein	
pelag13614	1	HTCC7217_00890	hypothetical protein	
pelag13615	1	HTCC7217_00892	hypothetical protein	
pelag13616	1	HTCC7217_00894	hypothetical protein	
pelag13617	1	HTCC7217_00899	Glycogen synthase	
pelag13618	1	HTCC7217_00900	hypothetical protein	
pelag13619	1	HTCC7217_00903	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	
pelag13620	1	HTCC7217_00904	hypothetical protein	
pelag13621	1	HTCC7217_00905	Thymidylate kinase	
pelag13622	1	HTCC7217_00906	hypothetical protein	
pelag13623	1	HTCC7217_00907	hypothetical protein	
pelag13624	1	HTCC7217_00908	hypothetical protein	
pelag13625	1	HTCC7217_00958	hypothetical protein	
pelag13626	1	HTCC7217_00959	hypothetical protein	
pelag13627	1	HTCC7217_00961	hypothetical protein	
pelag13628	1	HTCC7217_01032	hypothetical protein	
pelag13629	1	HTCC7217_01219	hypothetical protein	
pelag13630	1	HTCC7217_01220	hypothetical protein	
pelag13631	1	HTCC7217_01294	Ubiquinone biosynthesis O-methyltransferase	
pelag13632	1	HTCC7217_01377	hypothetical protein	
pelag13633	1	HTCC7217_01429	hypothetical protein	
pelag13634	1	HTCC7217_01430	hypothetical protein	
pelag13635	1	HTCC7217_01456	hypothetical protein	
pelag13636	1	HTCC8051_00286	hypothetical protein	
pelag13637	1	HTCC8051_00288	hypothetical protein	
pelag13638	1	HTCC8051_00292	hypothetical protein	
pelag13639	1	HTCC8051_00465	hypothetical protein	
pelag13640	1	HTCC8051_00525	hypothetical protein	
pelag13641	1	HTCC8051_00677	hypothetical protein	
pelag13642	1	HTCC8051_00836	hypothetical protein	
pelag13643	1	HTCC8051_01054	Peptide methionine sulfoxide reductase MsrB	
pelag13644	1	HTCC8051_01177	hypothetical protein	
pelag13645	1	HTCC8051_01178	hypothetical protein	
pelag13646	1	HTCC8051_01184	hypothetical protein	
pelag13647	1	HTCC8051_01189	hypothetical protein	
pelag13648	1	HTCC8051_01193	hypothetical protein	
pelag13649	1	HTCC8051_01198	3-oxoacyl-[acyl-carrier-protein] reductase FabG1	
pelag13650	1	HTCC8051_01210	Imidazole glycerol phosphate synthase subunit HisF	
pelag13651	1	HTCC8051_01325	hypothetical protein	
pelag13652	1	HTCC8051_01356	hypothetical protein	
pelag13653	1	HTCC8051_01490	hypothetical protein	
pelag13654	1	HTCC8051_01491	hypothetical protein	
pelag13655	1	HTCC8051_01492	hypothetical protein	
pelag13656	1	HTCC9022_00001	hypothetical protein	
pelag13657	1	HTCC9022_00365	3-dehydroquinate synthase	
pelag13658	1	HTCC9022_00366	hypothetical protein	
pelag13659	1	HTCC9022_00376	hypothetical protein	
pelag13660	1	HTCC9022_00378	hypothetical protein	
pelag13661	1	HTCC9022_00379	Abequosyltransferase RfbV	
pelag13662	1	HTCC9022_00381	hypothetical protein	
pelag13663	1	HTCC9022_00390	O-antigen biosynthesis glycosyltransferase WbnH	
pelag13664	1	HTCC9022_00391	hypothetical protein	
pelag13665	1	HTCC9022_00392	hypothetical protein	
pelag13666	1	HTCC9022_00527	hypothetical protein	
pelag13667	1	HTCC9022_00554	hypothetical protein	
pelag13668	1	HTCC9022_00750	hypothetical protein	
pelag13669	1	HTCC9022_00754	hypothetical protein	
pelag13670	1	HTCC9022_00755	hypothetical protein	
pelag13671	1	HTCC9022_00756	hypothetical protein	
pelag13672	1	HTCC9022_00757	hypothetical protein	
pelag13673	1	HTCC9022_00758	hypothetical protein	
pelag13674	1	HTCC9022_00759	hypothetical protein	
pelag13675	1	HTCC9022_00760	hypothetical protein	
pelag13676	1	HTCC9022_00761	hypothetical protein	
pelag13677	1	HTCC9022_00762	hypothetical protein	
pelag13678	1	HTCC9022_00773	hypothetical protein	
pelag13679	1	HTCC9022_00774	hypothetical protein	
pelag13680	1	HTCC9022_00777	hypothetical protein	
pelag13681	1	HTCC9022_00778	hypothetical protein	
pelag13682	1	HTCC9022_00780	hypothetical protein	
pelag13683	1	HTCC9022_00783	hypothetical protein	
pelag13684	1	HTCC9022_01019	hypothetical protein	
pelag13685	1	HTCC9022_01294	hypothetical protein	
pelag13686	1	HTCC9022_01327	hypothetical protein	
pelag13687	1	HTCC9022_01434	hypothetical protein	
pelag13688	1	HTCC9022_01437	hypothetical protein	
pelag13689	1	HTCC9565_00123	hypothetical protein	
pelag13690	1	HTCC9565_00124	hypothetical protein	
pelag13691	1	HTCC9565_00133	hypothetical protein	
pelag13692	1	HTCC9565_00210	hypothetical protein	
pelag13693	1	HTCC9565_00212	hypothetical protein	
pelag13694	1	HTCC9565_00215	CDP-glycerol:poly(glycerophosphate) glycerophosphotransferase	
pelag13695	1	HTCC9565_00224	6-phosphogluconolactonase	
pelag13696	1	HTCC9565_00228	hypothetical protein	
pelag13697	1	HTCC9565_00233	hypothetical protein	
pelag13698	1	HTCC9565_00235	Ubiquinone biosynthesis O-methyltransferase	
pelag13699	1	HTCC9565_00238	hypothetical protein	
pelag13700	1	HTCC9565_00239	UDP-glucose 4-epimerase	
pelag13701	1	HTCC9565_00240	dTDP-glucose 4,6-dehydratase	
pelag13702	1	HTCC9565_00241	hypothetical protein	
pelag13703	1	HTCC9565_00278	hypothetical protein	
pelag13704	1	HTCC9565_00279	hypothetical protein	
pelag13705	1	HTCC9565_00280	hypothetical protein	
pelag13706	1	HTCC9565_00434	hypothetical protein	
pelag13707	1	HTCC9565_00608	hypothetical protein	
pelag13708	1	HTCC9565_00609	hypothetical protein	
pelag13709	1	HTCC9565_00723	hypothetical protein	
pelag13710	1	HTCC9565_00774	2-isopropylmalate synthase	
pelag13711	1	HTCC9565_00776	hypothetical protein	
